SeID,Length
1193,39.19
1194,65.92
1195,46.72
1196,108.75
1197,111.94
1198,158.34
1199,205.77
1200,87.61
1201,366.86
1202,254.17
1203,0.01
1204,113.89
1205,142.74
1206,98.83
1207,125.14
1208,123.19
1209,157.21
1210,218.92
1211,0.01
1212,157.76
1213,41.01
1214,29.36
1215,65.63
1216,4.12
1217,0
1218,51.25
1219,117.19
1220,73.41
1221,132.19
1222,284.84
1223,101.81
1224,149.56
1225,191.42
1226,153.63
1227,92.27
1228,79.96
1229,83.04
1230,187
1231,1787.7
1232,20.3
1233,24.5
1234,227.05
1235,314.57
1236,277.75
1237,84.87
1238,15.85
1239,154.99
1240,1737.12
1241,56.2
1242,1448.71
1243,186.39
1244,91.8
1245,52.15
1246,185.95
1247,13.91
1248,60.84
1249,93.75
1250,55.84
1251,250.87
1252,37.08
1253,68.84
1254,175.35
1255,45.74
1256,197.25
1257,261.87
1258,32.6
1259,1128.4
1260,20.37
1261,559.58
1262,57.58
1263,2387.81
1264,39.79
1265,397.07
1266,63.55
1267,530.4
1268,1331.36
1269,21.89
1270,34.29
1271,45.08
1272,20.27
1273,411.79
1274,391.22
1275,322.33
1276,10.84
1277,409.47
1278,378.59
1279,140.99
1280,144.81
1281,86.19
1282,81.93
1283,49.79
1284,47.55
1285,101.71
1286,43.57
1287,314.43
1288,44.6
1289,100.67
1290,34.27
1291,217.46
1292,46.39
1293,48.96
1294,57.27
1295,44.02
1296,106.12
1297,51.59
1298,171.12
1299,16.55
1300,557.72
1301,109.35
1302,84.96
1303,104.96
1304,98.69
1305,358.41
1306,207.63
1307,41.4
1308,399.96
1309,17.91
1310,104.34
1311,193.86
1312,355.41
1313,144.7
1314,309.73
1315,270.84
1316,89.62
1317,65.35
1318,299.29
1319,199.13
1320,23.86
1321,109.16
1322,88.86
1323,172
1324,68.65
1325,0.01
1326,25.39
1327,308.04
1328,265.72
1329,340.02
1330,134.52
1331,23.98
1332,239.57
1333,219.38
1334,290.9
1335,2164.96
1336,95.39
1337,90.85
1338,405.54
1339,107.55
1340,14.87
1341,159.19
1342,97.61
1343,29.87
1344,181.19
1345,6.54
1346,267.57
1347,1250.47
1348,42.74
1349,108.96
1350,15.21
1351,156.29
1352,108.93
1353,29.7
1354,81.21
1355,285.64
1356,220.83
1357,87.82
1358,62.98
1359,15.64
1360,108.85
1361,139.63
1362,33.86
1363,263.81
1364,12.03
1365,230.15
1366,19.9
1367,28.24
1368,50.78
1369,206.32
1370,102.83
1371,28.02
1372,166.03
1373,106.8
1374,18.27
1375,198.42
1376,45.89
1377,440.54
1378,241.66
1379,15.75
1380,79.26
1381,47.51
1382,28.42
1383,19.32
1384,252.97
1385,2667.27
1386,212.6
1387,136.58
1388,46.66
1389,16.81
1390,123.01
1391,26.07
1392,36.29
1393,230.24
1394,248.74
1395,96.61
1396,251.36
1397,53.8
1398,76.66
1399,634.59
1400,7.21
1401,78.12
1402,249.24
1403,27.92
1404,60.19
1405,402.98
1406,646.07
1407,591.05
1408,532.7
1409,485.82
1410,129.65
1411,0.2
1412,403.98
1413,294.12
1414,301.4
1415,207.23
1416,149.43
1417,1348.61
1418,204.73
1419,383.63
1420,0.03
1421,234.58
1422,116.27
1423,177.85
1424,20.81
1425,749.81
1426,462.38
1427,53.84
1428,92.08
1429,24.18
1430,409.47
1431,189.94
1432,158.8
1433,151.07
1434,303.12
1435,572.53
1436,533.19
1437,602.98
1438,295.17
1439,331.03
1440,6240.91
1441,34.15
1442,10.83
1443,56.26
1444,148.12
1445,86.31
1446,144.07
1447,136.27
1448,44.46
1449,153.1
1450,253.4
1451,492.81
1452,61.7
1453,85.13
1454,76.37
1455,0.08
1456,488.11
1457,485.04
1458,115.38
1459,441.52
1460,312.35
1461,624.41
1462,658.89
1463,302.49
1464,290.32
1465,50.92
1466,379.51
1467,88.97
1468,77.11
1469,419.24
1470,447.13
1471,396.83
1472,86.52
1473,124.89
1474,270.11
1475,153.81
1476,173.27
1477,995.33
1478,293.49
1479,214.64
1480,308.42
1481,62.42
1482,65.84
1483,131.35
1484,59.99
1485,48.71
1486,379.45
1487,310.56
1488,394.21
1489,627.19
1490,355.68
1491,234.33
1492,138.37
1493,57.8
1494,73.34
1495,55.98
1496,536.61
1497,448.01
1498,85.18
1499,109.45
1500,57.8
1501,43.98
1502,530.06
1503,59.5
1504,268.45
1505,23.89
1506,129.32
1507,255.04
1508,5476.92
1509,239.64
1510,307.18
1511,235.48
1512,316.01
1513,246.95
1514,240.37
1515,247.5
1516,174.04
1517,103.96
1518,265.17
1519,603.81
1520,23.14
1521,61.24
1522,22.42
1523,22.52
1524,170.88
1525,261.14
1526,495.4
1527,222.05
1528,699.96
1529,282.28
1530,14.97
1531,44.02
1532,1038.9
1533,37.02
1534,89.04
1535,26.94
1536,1121
1537,1463.6
1538,371.97
1539,404.63
1540,226.28
1541,112.52
